"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-1.562066","-.9395868","-2.501653"
"",".1915998",".2234678",".2959873"
"ARG # post1990=1",".1364418","-.4427544","-.3063126"
"",".1066572",".1521428",".1900286"
"BOL # post1990=0","-1.144758","-1.525795","-2.670553"
"",".2066948",".2768528",".3494846"
"BOL # post1990=1","-.1345339",".557768",".423234"
"",".1761235",".2657295",".2871141"
"BRA # post1990=0",".4149595",".1839392",".5988987"
"",".190773",".21864",".2908266"
"BRA # post1990=1","-1.230754",".0004423","-1.230312"
"",".1165464",".1681407",".2023283"
"BRB # post1990=0",".0496359",".0141258",".0637617"
"",".1974789",".1953841",".2536129"
"BRB # post1990=1","-.9554317","-.7728835","-1.728315"
"",".1003428",".1423772",".1831369"
"CHL # post1990=0","-.9142598","-.5265955","-1.440855"
"",".189917",".1995449",".2680423"
"CHL # post1990=1","-.3642775","1.656236","1.291959"
"",".1039213",".147825",".1868892"
"COL # post1990=0","-.1822965","-.4376687","-.6199652"
"",".1895267",".2056434",".2760337"
"COL # post1990=1","-.4762804",".5394547",".0631743"
"",".1222468",".1774707",".2098331"
"CRI # post1990=0","-.4949849","-.2431141","-.7380992"
"",".1898656",".1998549",".2684854"
"CRI # post1990=1",".1601132",".2667039",".426817"
"",".1137288",".1635478",".1987132"
"DOM # post1990=0","-.1631809",".4055283",".2423474"
"",".1925644",".2283231",".3010751"
"DOM # post1990=1",".1088445","1.234387","1.343232"
"",".1236735",".1798105",".211745"
"ECU # post1990=0","-.3519911","-.5778273","-.9298185"
"",".189531",".2040471",".2740537"
"ECU # post1990=1","-.0977698","-.6118105","-.7095803"
"",".1335651",".1960524",".2252945"
"GTM # post1990=0","-.4049812","-.7983479","-1.203329"
"",".1955837",".2410404",".3140767"
"GTM # post1990=1","-.1849233","-.3989189","-.5838422"
"",".1494781",".2221677",".24789"
"JAM # post1990=0","-.7956786","-1.61095","-2.406629"
"",".1896088",".2080802",".27896"
"JAM # post1990=1","-.2681031","-1.257608","-1.525711"
"",".1451066",".2149996",".2416044"
"MEX # post1990=0","-1.503444",".8912322","-.6122114"
"",".1944552",".1941074",".2558006"
"MEX # post1990=1","-.8421211","-.1700468","-1.012168"
"",".1040017",".1479505",".1869789"
"PER # post1990=0","-1.492529","-1.094191","-2.58672"
"",".19217",".2264105",".2990814"
"PER # post1990=1",".0168304",".7259935",".7428239"
"",".1394192",".205666",".2335106"
"TTO # post1990=0","-2.362265",".319304","-2.04296"
"",".2047198",".2024183",".2533766"
"TTO # post1990=1","-.7374627","1.62927",".891807"
"",".09779",".1389084",".1810869"
"URY # post1990=0","-1.30047","-.5629975","-1.863468"
"",".1917745",".195022",".2602321"
"URY # post1990=1",".7046962","-.2613948",".4433014"
"",".1063096",".1515899",".1896209"
"VEN # post1990=0","-2.311708",".1575468","-2.154161"
"",".1933188",".1941437",".2572527"
"VEN # post1990=1","-2.085871","-.8500204","-2.935892"
"",".1179019",".1703556",".2040914"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","568","568","568"
