"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-1.275202","-.8682355","-2.143437"
"",".1928782",".2288514",".3075993"
"ARG # post1990=1",".0107595","-.368277","-.3575175"
"",".1125162",".1506614",".1897512"
"BOL # post1990=0","-1.394957","-1.546541","-2.941498"
"",".2080239",".2845612",".3680291"
"BOL # post1990=1","-.2726847",".5443057",".271621"
"",".1824539",".2710395",".3022137"
"BRA # post1990=0",".3920124",".3030287",".695041"
"",".1918243",".2226054",".3002318"
"BRA # post1990=1","-.9506752",".1406411","-.8100341"
"",".1231684",".168161",".2050469"
"BRB # post1990=0",".1552757","-.2139556","-.0586799"
"",".1970328",".2003421",".2593453"
"BRB # post1990=1","-1.028896","-.492969","-1.521865"
"",".1030818",".1373127",".1785991"
"CHL # post1990=0","-.9418733","-.54744","-1.489313"
"",".1907234",".2055271",".2775776"
"CHL # post1990=1","-.3196504","1.93153","1.611879"
"",".1103247",".147261",".1868547"
"COL # post1990=0","-.1008402","-.3061773","-.4070176"
"",".1906168",".2105772",".2849394"
"COL # post1990=1","-.5223638",".6017818",".079418"
"",".1290082",".1781034",".2139713"
"CRI # post1990=0","-.609155","-.1656536","-.7748086"
"",".1907623",".2051307",".2769495"
"CRI # post1990=1",".1185543",".3206951",".4392494"
"",".1200352",".1629013",".2003892"
"DOM # post1990=0","-.4224695",".5091567",".0866873"
"",".19397",".234375",".3139316"
"DOM # post1990=1",".1309132","1.225846","1.35676"
"",".1308396",".1812476",".2168231"
"ECU # post1990=0","-.1878759","-.5089441","-.6968199"
"",".1905903",".209302",".2831665"
"ECU # post1990=1","-.1685656","-.4766313","-.645197"
"",".1402019",".1974362",".2317019"
"GTM # post1990=0","-.3901186","-.8252836","-1.215402"
"",".1967828",".246546",".3274827"
"GTM # post1990=1","-.2614694","-.3250432","-.5865125"
"",".1552276",".2236",".2563174"
"JAM # post1990=0","-.8646093","-1.675797","-2.540406"
"",".1909328",".2154334",".2913601"
"JAM # post1990=1","-.2820183","-1.243309","-1.525328"
"",".1502859",".2149845",".2481447"
"MEX # post1990=0","-1.639081",".9665359","-.6725446"
"",".1946459",".1992261",".2619046"
"MEX # post1990=1","-.9640765","-.1454587","-1.109535"
"",".1093142",".145733",".1855631"
"PER # post1990=0","-1.584653","-1.014035","-2.598688"
"",".19371",".2331178",".3125026"
"PER # post1990=1","-.2060569",".781682",".5756251"
"",".1469988",".2092576",".2427468"
"TTO # post1990=0","-2.425504",".5581654","-1.867338"
"",".203417",".2071967",".2581524"
"TTO # post1990=1",".5049942",".8585925","1.363587"
"",".1027844",".1369871",".1783385"
"URY # post1990=0","-.9169645","-.5392086","-1.456173"
"",".192057",".2004893",".2681678"
"URY # post1990=1",".7104924","-.2442721",".4662203"
"",".1126021",".1507967",".189867"
"VEN # post1990=0","-2.575883",".5029924","-2.07289"
"",".1934784",".1992981",".2640301"
"VEN # post1990=1","-1.362558","-.6686515","-2.031209"
"",".1222461",".166606",".2036651"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","3550","3550","3550"
