"","est1","est2","est3"
"","b","b","b"
"ARG","-.634013","-.6178027","-1.251816"
"BOL","-.8425288","-.4989137","-1.341443"
"BRA","-.2816591",".222424","-.0592351"
"BRB","-.4339023","-.3541982","-.7881006"
"CHL","-.6306795",".6920241",".0613446"
"COL","-.3135238",".1482886","-.1652352"
"CRI","-.2460378",".0777074","-.1683304"
"DOM","-.1493038",".8683939",".7190902"
"ECU","-.1807803","-.4921399","-.6729202"
"GTM","-.3314343","-.5737359","-.9051701"
"JAM","-.5769708","-1.458628","-2.035598"
"MEX","-1.299933",".4101221","-.8898108"
"PER","-.8998578","-.1150368","-1.014895"
"TTO","-.9563467",".7073898","-.2489569"
"URY","-.102632","-.3918932","-.4945253"
"VEN","-1.968996","-.0828862","-2.051883"
"nonLAC","0","0","0"
"Observations","3550","3550","3550"
