
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.232**",="-0.0565",="0.176"
="",="(0.0785)",="(0.132)",="(0.139)"

="year=1968",="1.495***",="0.0633",="1.558***"
="",="(0.378)",="(0.286)",="(0.396)"

="year=1969",="1.719***",="0.0922",="1.811***"
="",="(0.353)",="(0.295)",="(0.392)"

="year=1970",="1.761***",="0.146",="1.908***"
="",="(0.382)",="(0.301)",="(0.406)"

="year=1971",="1.546***",="0.307",="1.853***"
="",="(0.361)",="(0.304)",="(0.419)"

="year=1972",="1.628***",="0.429",="2.057***"
="",="(0.357)",="(0.306)",="(0.412)"

="year=1973",="1.476***",="0.632*",="2.108***"
="",="(0.356)",="(0.314)",="(0.432)"

="year=1974",="1.239***",="0.893**",="2.132***"
="",="(0.339)",="(0.321)",="(0.420)"

="year=1975",="0.786*",="0.984**",="1.769***"
="",="(0.349)",="(0.330)",="(0.401)"

="year=1976",="0.458",="1.171***",="1.629***"
="",="(0.352)",="(0.341)",="(0.406)"

="year=1977",="0.0711",="1.367***",="1.438***"
="",="(0.306)",="(0.353)",="(0.383)"

="year=1978",="-0.0313",="1.373***",="1.342***"
="",="(0.345)",="(0.355)",="(0.377)"

="year=1979",="-0.214",="1.374***",="1.161**"
="",="(0.362)",="(0.347)",="(0.389)"

="year=1980",="-0.347",="1.264***",="0.917*"
="",="(0.400)",="(0.344)",="(0.410)"

="year=1981",="-0.398",="1.154**",="0.756"
="",="(0.402)",="(0.340)",="(0.426)"

="year=1982",="-0.333",="1.029**",="0.696"
="",="(0.378)",="(0.335)",="(0.432)"

="year=1983",="-0.601",="0.718*",="0.117"
="",="(0.360)",="(0.331)",="(0.426)"

="year=1984",="-0.619",="0.503",="-0.116"
="",="(0.354)",="(0.322)",="(0.426)"

="year=1985",="-0.615",="0.190",="-0.425"
="",="(0.320)",="(0.323)",="(0.394)"

="year=1986",="-0.530",="-0.0515",="-0.581"
="",="(0.307)",="(0.310)",="(0.374)"

="year=1987",="-0.301",="-0.179",="-0.480"
="",="(0.307)",="(0.300)",="(0.365)"

="year=1988",="-0.0434",="-0.237",="-0.281"
="",="(0.302)",="(0.289)",="(0.374)"

="year=1989",="0.155",="-0.198",="-0.0439"
="",="(0.312)",="(0.313)",="(0.384)"

="year=1990",="0.375",="-0.150",="0.225"
="",="(0.321)",="(0.298)",="(0.375)"

="year=1991",="0.429",="-0.206",="0.224"
="",="(0.334)",="(0.290)",="(0.376)"

="year=1992",="0.489",="-0.226",="0.263"
="",="(0.347)",="(0.286)",="(0.407)"

="year=1993",="0.272",="-0.339",="-0.0670"
="",="(0.289)",="(0.267)",="(0.360)"

="year=1994",="0.310",="-0.325",="-0.0148"
="",="(0.273)",="(0.257)",="(0.336)"

="year=1995",="0.267",="-0.283",="-0.0163"
="",="(0.263)",="(0.263)",="(0.311)"

="year=1996",="0.437",="-0.231",="0.206"
="",="(0.265)",="(0.252)",="(0.284)"

="year=1997",="0.515",="-0.144",="0.370"
="",="(0.277)",="(0.251)",="(0.272)"

="year=1998",="0.389",="0.0307",="0.420"
="",="(0.284)",="(0.240)",="(0.237)"

="year=1999",="0.335",="0.173",="0.509*"
="",="(0.302)",="(0.233)",="(0.230)"

="year=2000",="0.414",="0.280",="0.694**"
="",="(0.308)",="(0.235)",="(0.257)"

="year=2001",="0.349",="0.143",="0.492"
="",="(0.328)",="(0.243)",="(0.273)"

="year=2002",="0.351",="0.00617",="0.357"
="",="(0.353)",="(0.243)",="(0.286)"

="year=2003",="0.291",="-0.111",="0.181"
="",="(0.353)",="(0.236)",="(0.301)"

="year=2004",="0.339",="-0.0527",="0.287"
="",="(0.346)",="(0.227)",="(0.307)"

="year=2005",="0.600",="-0.0907",="0.509"
="",="(0.343)",="(0.221)",="(0.301)"

="year=2006",="0.765*",="0.0202",="0.785*"
="",="(0.349)",="(0.219)",="(0.309)"

="year=2007",="0.823*",="0.114",="0.937**"
="",="(0.342)",="(0.218)",="(0.304)"

="year=2008",="0.613",="0.342",="0.956**"
="",="(0.339)",="(0.235)",="(0.310)"

="year=2009",="0.337",="0.212",="0.548*"
="",="(0.284)",="(0.227)",="(0.273)"

="year=2010",="0.416",="0.276",="0.692*"
="",="(0.272)",="(0.215)",="(0.269)"

="year=2011",="0.293",="0.174",="0.467"
="",="(0.250)",="(0.180)",="(0.252)"

="year=2012",="0.139",="0.0685",="0.207"
="",="(0.245)",="(0.174)",="(0.248)"

="year=2013",="-0.0141",="-0.0756",="-0.0897"
="",="(0.222)",="(0.152)",="(0.238)"

="year=2014",="-0.134",="-0.191",="-0.325"
="",="(0.192)",="(0.126)",="(0.219)"

="year=2015",="0.0427",="-0.268**",="-0.225"
="",="(0.156)",="(0.0852)",="(0.180)"

="year=2016",="0.189**",="-0.0269",="0.162*"
="",="(0.0568)",="(0.0421)",="(0.0680)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-1.275***",="-0.868***",="-2.143***"
="",="(0.193)",="(0.229)",="(0.308)"

="ARG # post1990=1",="0.0108",="-0.368*",="-0.358"
="",="(0.113)",="(0.151)",="(0.190)"

="BOL # post1990=0",="-1.395***",="-1.547***",="-2.941***"
="",="(0.208)",="(0.285)",="(0.368)"

="BOL # post1990=1",="-0.273",="0.544*",="0.272"
="",="(0.182)",="(0.271)",="(0.302)"

="BRA # post1990=0",="0.392*",="0.303",="0.695*"
="",="(0.192)",="(0.223)",="(0.300)"

="BRA # post1990=1",="-0.951***",="0.141",="-0.810***"
="",="(0.123)",="(0.168)",="(0.205)"

="BRB # post1990=0",="0.155",="-0.214",="-0.0587"
="",="(0.197)",="(0.200)",="(0.259)"

="BRB # post1990=1",="-1.029***",="-0.493***",="-1.522***"
="",="(0.103)",="(0.137)",="(0.179)"

="CHL # post1990=0",="-0.942***",="-0.547**",="-1.489***"
="",="(0.191)",="(0.206)",="(0.278)"

="CHL # post1990=1",="-0.320**",="1.932***",="1.612***"
="",="(0.110)",="(0.147)",="(0.187)"

="COL # post1990=0",="-0.101",="-0.306",="-0.407"
="",="(0.191)",="(0.211)",="(0.285)"

="COL # post1990=1",="-0.522***",="0.602**",="0.0794"
="",="(0.129)",="(0.178)",="(0.214)"

="CRI # post1990=0",="-0.609**",="-0.166",="-0.775**"
="",="(0.191)",="(0.205)",="(0.277)"

="CRI # post1990=1",="0.119",="0.321",="0.439*"
="",="(0.120)",="(0.163)",="(0.200)"

="DOM # post1990=0",="-0.422*",="0.509*",="0.0867"
="",="(0.194)",="(0.234)",="(0.314)"

="DOM # post1990=1",="0.131",="1.226***",="1.357***"
="",="(0.131)",="(0.181)",="(0.217)"

="ECU # post1990=0",="-0.188",="-0.509*",="-0.697*"
="",="(0.191)",="(0.209)",="(0.283)"

="ECU # post1990=1",="-0.169",="-0.477*",="-0.645**"
="",="(0.140)",="(0.197)",="(0.232)"

="GTM # post1990=0",="-0.390",="-0.825**",="-1.215***"
="",="(0.197)",="(0.247)",="(0.327)"

="GTM # post1990=1",="-0.261",="-0.325",="-0.587*"
="",="(0.155)",="(0.224)",="(0.256)"

="JAM # post1990=0",="-0.865***",="-1.676***",="-2.540***"
="",="(0.191)",="(0.215)",="(0.291)"

="JAM # post1990=1",="-0.282",="-1.243***",="-1.525***"
="",="(0.150)",="(0.215)",="(0.248)"

="MEX # post1990=0",="-1.639***",="0.967***",="-0.673*"
="",="(0.195)",="(0.199)",="(0.262)"

="MEX # post1990=1",="-0.964***",="-0.145",="-1.110***"
="",="(0.109)",="(0.146)",="(0.186)"

="PER # post1990=0",="-1.585***",="-1.014***",="-2.599***"
="",="(0.194)",="(0.233)",="(0.313)"

="PER # post1990=1",="-0.206",="0.782***",="0.576*"
="",="(0.147)",="(0.209)",="(0.243)"

="TTO # post1990=0",="-2.426***",="0.558**",="-1.867***"
="",="(0.203)",="(0.207)",="(0.258)"

="TTO # post1990=1",="0.505***",="0.859***",="1.364***"
="",="(0.103)",="(0.137)",="(0.178)"

="URY # post1990=0",="-0.917***",="-0.539**",="-1.456***"
="",="(0.192)",="(0.200)",="(0.268)"

="URY # post1990=1",="0.710***",="-0.244",="0.466*"
="",="(0.113)",="(0.151)",="(0.190)"

="VEN # post1990=0",="-2.576***",="0.503*",="-2.073***"
="",="(0.193)",="(0.199)",="(0.264)"

="VEN # post1990=1",="-1.363***",="-0.669***",="-2.031***"
="",="(0.122)",="(0.167)",="(0.204)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.380",="1.648***",="2.028***"
="",="(0.223)",="(0.241)",="(0.290)"

="Observations",="3550",="3550",="3550"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
