"","est1","est2","est3"
"","b","b","b"
"ARG","-.7875961","-.9800343","-1.76763"
"BRA","-.0276241","-.6209006","-.6485247"
"BRB","-.5414147","-.6138037","-1.155218"
"CHL","-.2178017",".1451147","-.0726871"
"COL",".0320783","-.3725614","-.3404831"
"CRI","-.0503931","-.3837028","-.4340959"
"DOM",".2980708",".7817107","1.079781"
"ECU",".0534077","-1.103283","-1.049875"
"GTM","-.171252","-1.374802","-1.546054"
"JAM","-.4672511","-1.524099","-1.99135"
"MEX","-.814545","-.2835553","-1.0981"
"PER","-.5935237","-.735441","-1.328965"
"TTO",".3885818","-.1053316",".2832502"
"URY",".4762452","-.4605266",".0157185"
"nonLAC","0","0","0"
"Observations","359","359","359"
